official_seq,code,name
319,A179,其他洗滌、吸收塔(器)
320,A180,吸附設備
321,A190,冷凝器
322,A200,選擇觸媒還原(SCR)設備
323,A201,選擇無觸媒還原(SNCR)設備
324,A210,其他
325,B001,燃氣台爐
326,B002,燃氣熱水器
327,B099,其他維護使用
328,B100,大客車
329,B101,小客車
330,B102,大貨車
331,B103,小貨車
332,B104,大客貨兩用車
333,B105,小客貨兩用車
334,B106,代用大客車
335,B107,代用小客車
336,B108,大型特種車
337,B109,小型特種車
338,B110,普通重型機車
339,B111,大型重型機車
340,B112,普通輕型機車
341,B113,小型輕型機車
342,B114,鐵路機車
343,B115,鐵路車輛
344,B116,大眾捷運系統車輛
345,B117,曳引車
346,B118,堆高機
347,B199,其他車輛
348,B201,除濕機
349,B202,飲水機
350,B203,空氣源式熱泵熱水器
351,B204,氣體鋼瓶
352,B205,車輛空調冷媒
353,B206,氣體絕緣開關
354,B207,除草機
355,B299,其他實驗或儀器使用
356,B301,使用外購電力設備
357,B302,太陽能發電設備
358,B303,風力發電設備
